URL,名称,住所,最寄駅,施工年月,市区,lat,lng
https://db.self-in.com/mansion/1333744.html,サンヒルズ吉塚,福岡県福岡市東区馬出1丁目32番14号,"['吉塚駅より 徒歩5分', '馬出九大病院前駅より 徒歩8分', '箱崎宮前駅より 徒歩13分']",2015-7,福岡市東区,33.6101756,130.4239652
https://db.self-in.com/mansion/707912.html,モントーレ香椎浜サーフコート,福岡県福岡市東区香椎浜3丁目3番7号,"['千早駅より 徒歩22分', '西鉄バス「留学生会館前」バス停バス停より 徒歩5分', '香椎駅より バス11分']",2015-5,福岡市東区,33.6581957,130.4295497
https://db.self-in.com/mansion/1409136.html,モントーレ香椎浜,福岡県福岡市東区香椎浜3丁目3番,"['千早駅より 徒歩22分', '西鉄バス「留学生会館前」バス停バス停より 徒歩5分', '香椎駅より バス11分']",2015-5,福岡市東区,33.6582259,130.4280742
https://db.self-in.com/mansion/708389.html,MJRシティ香椎サウス,福岡県福岡市東区香椎浜4丁目9番,['香椎駅より 徒歩12分'],2015-3,福岡市東区,33.6565601,130.4360343
https://db.self-in.com/mansion/707886.html,アンピール千早駅南,福岡県福岡市東区名島5丁目69番12号,"['千早駅より 徒歩5分', '西鉄千早駅より 徒歩5分']",2015-3,福岡市東区,33.6460497,130.4380896
https://db.self-in.com/mansion/763503.html,エイリックタウン箱崎公園ファミリアＷＥＳＴ,福岡県福岡市東区原田4丁目24番60号,['柚須駅より 徒歩20分'],2015-1,福岡市東区,33.6228228,130.4420429
https://db.self-in.com/mansion/599675.html,ザ・サンズ千早駅前,福岡県福岡市東区千早4丁目22番,['千早駅より 徒歩3分'],2015-1,福岡市東区,33.6496227,130.4373078
https://db.self-in.com/mansion/1442010.html,ラファセエスティーロ箱崎駅前,福岡県福岡市東区箱崎3丁目3番28号,"['箱崎駅より 徒歩3分', '箱崎九大前駅より 徒歩10分', '貝塚駅より 徒歩19分']",2014-9,福岡市東区,33.6205892,130.427318
https://db.self-in.com/mansion/1387287.html,MJR千早,福岡県福岡市東区千早4丁目25番17号,"['西鉄千早駅より 徒歩4分', '千早駅より 徒歩4分', '香椎宮前駅より 徒歩7分']",2014-7,福岡市東区,33.6514712,130.4402583
https://db.self-in.com/mansion/707780.html,セントラルパーク香椎照葉,福岡県福岡市東区香椎照葉4丁目2番1号,['香椎花園前駅より 徒歩21分'],2014-7,福岡市東区,33.6664653,130.4213471
https://db.self-in.com/mansion/763367.html,エイリックタウン箱崎公園ファミリアEAST,福岡県福岡市東区原田4丁目24番55号,['柚須駅より 徒歩21分'],2014-4,福岡市東区,33.6229112,130.4426432
https://db.self-in.com/mansion/1309469.html,ウインステージ箱崎,福岡県福岡市東区箱崎2丁目6番16号,['箱崎宮前駅より 徒歩4分'],2014-3,福岡市東区,33.6178018,130.4217452
https://db.self-in.com/mansion/763366.html,パーク・サンリヤン名島,福岡県福岡市東区名島5丁目66番8号,['名島駅より 徒歩4分'],2014-2,福岡市東区,33.6430293,130.4336343
https://db.self-in.com/mansion/777708.html,MJRシティ香椎,福岡県福岡市東区香椎浜4丁目9番1号,"['西鉄香椎駅より 徒歩10分', '香椎駅より 徒歩11分']",2014-2,福岡市東区,33.6568006,130.4366306
https://db.self-in.com/mansion/708012.html,アクロス松崎ファインテラス,福岡県福岡市東区松崎1丁目44番9号,"['西鉄バス「火の見下」バス停バス停より 徒歩2分', '名島駅より 徒歩16分', '千早駅より 徒歩19分', '西鉄千早駅より 徒歩19分']",2013-10,福岡市東区,33.6359477,130.4414252
https://db.self-in.com/mansion/1381530.html,グランディアソラーレ県庁前,福岡県福岡市東区馬出1丁目31番5号,"['吉塚駅より 徒歩6分', '馬出九大病院前駅より 徒歩7分', '箱崎宮前駅より 徒歩11分', '西鉄バス「吉塚営業所」バス停より 徒歩2分']",2013-9,福岡市東区,33.6106158,130.4242495
https://db.self-in.com/mansion/598807.html,プレミスト千早レジデンス,福岡県福岡市東区香椎団地1番30号,['千早駅より 徒歩8分'],2013-4,福岡市東区,33.6535207,130.4379048
https://db.self-in.com/mansion/1632220.html,レーベン千代 THE PARK FRONT,福岡県福岡市博多区千代4丁目29番5号,['千代県庁口駅より 徒歩3分'],2022-11,福岡市博多区,33.6049156,130.4152389
https://db.self-in.com/mansion/1414524.html,アルファステイツ東那珂,福岡県福岡市博多区東那珂1丁目400番6号,"['竹下駅より 徒歩15分', '西鉄バス「宮園」バス停より 徒歩6分']",2022-10,福岡市博多区,33.5759534,130.4408098
https://db.self-in.com/mansion/1631384.html,ブライトクロス博多,福岡県福岡市博多区那珂6丁目22番1号,['竹下駅より 徒歩8分'],2022-10,福岡市博多区,33.5648781,130.4376273
https://db.self-in.com/mansion/1419639.html,エイリックスタイル 吉塚アルクス,福岡県福岡市博多区吉塚5丁目12番41号,"['吉塚駅より 徒歩11分', '西鉄「東吉塚小学校前」バス停より 徒歩4分']",2022-9,福岡市博多区,33.6034338,130.4307217
https://db.self-in.com/mansion/1444250.html,デュレジア博多テラス,福岡県福岡市博多区美野島1丁目15番,['博多駅より 徒歩15分'],2022-6,福岡市博多区,33.5809353,130.4163709
https://db.self-in.com/mansion/1442315.html,アクタス博多グランミライ,福岡県福岡市博多区竹下4丁目5番4号,['竹下駅より 徒歩4分'],2022-5,福岡市博多区,33.5709778,130.4329874
https://db.self-in.com/mansion/1415502.html,ファーネスト博多レヴィア,福岡県福岡市博多区東那珂1丁目14番24号,['西鉄「宮園」バス停より 徒歩7分'],2022-5,福岡市博多区,33.574279,130.4398548
https://db.self-in.com/mansion/1438172.html,サングレート博多イーエックス,福岡県福岡市博多区板付5丁目12番26号,['西鉄バス「新屋バス停」バス停より 徒歩3分'],2022-3,福岡市博多区,33.5626062,130.4559311
https://db.self-in.com/mansion/1434153.html,アルファステイツ笹原駅南,福岡県福岡市博多区三筑2丁目17番,['笹原駅より 徒歩9分'],2022-1,福岡市博多区,33.5499002,130.4588738
https://db.self-in.com/mansion/1431713.html,グランフォーレ県庁前アネックス,福岡県福岡市博多区千代4丁目7番72号,['千代県庁口駅より 徒歩4分'],2021-11,福岡市博多区,33.605622,130.415481
https://db.self-in.com/mansion/1430814.html,アルファシオディフォンド,福岡県福岡市博多区石城町7番43号,"['呉服町駅より 徒歩13分', '中洲川端駅より 徒歩20分']",2021-5,福岡市博多区,33.6044706,130.4065766
